,Compressed Data,Subfolder Name
0,"[-5.0324100e+02  1.5562462e+02 -5.3089634e+01 -9.3387537e+00
  1.8954021e+01 -3.0361128e+01 -1.0490327e+01 -1.9197911e-01
 -2.5778473e+01 -7.8774090e+00 -1.7375965e+00 -1.9827585e+01
 -6.8324337e+00 -5.2338133e+00 -1.8699982e+01 -4.7401547e+00
 -1.8618798e+00 -1.2453473e+01  1.4335910e+00  8.5837536e+00
 -1.4932211e-01  1.7246721e+00 -2.0730245e+00 -9.2479391e+00
 -2.1952531e+00 -1.7584935e+00 -7.5289550e+00 -3.6955614e+00
 -3.6447406e+00 -5.1573739e+00  3.1925449e-01 -1.1592822e+00
 -5.1152577e+00 -1.2177705e+00  1.2590815e-01 -1.0056556e+00
  5.7310301e-01  1.1876254e+00  3.6731021e+00  5.4540005e+00]",belly_pain
1,"[-4.2670706e+02  1.5733188e+02 -5.2705978e+01 -1.4524200e+01
  1.1352674e+01 -3.7552837e+01 -1.5138313e+01  3.2016629e-01
 -2.4708115e+01 -1.0134473e+01 -3.3377776e+00 -2.0508154e+01
 -7.7402949e+00 -2.0978572e+00 -1.3885005e+01 -4.2297792e+00
 -2.0916188e+00 -1.1650046e+01 -2.3975244e+00  8.4168844e-02
 -8.5601606e+00 -2.7118180e+00  7.7041090e-01 -2.8796751e+00
  1.4081879e-01 -2.4510756e+00 -6.5858407e+00 -1.0381470e+00
 -1.1858436e+00 -5.5240097e+00 -2.6554418e+00 -1.7955008e+00
 -2.7812841e+00 -3.3901513e-01 -9.6069551e-01 -2.0354743e+00
 -7.2663069e-01 -2.2454739e+00 -2.6661777e+00 -2.2312225e-01]",belly_pain
2,"[-3.8903870e+02  1.6844524e+02 -6.7223175e+01 -1.7126299e+01
  1.3631199e+01 -4.1452286e+01 -1.4523580e+01 -1.0052770e+00
 -3.1239031e+01 -8.3849306e+00  1.8402041e+00 -2.2669641e+01
 -1.1450462e+01 -3.4937088e+00 -1.3468182e+01 -1.9426298e-01
  3.3947778e+00 -6.3234868e+00  1.4127531e+00 -1.2182516e+00
 -1.0568882e+01 -1.5191766e+00 -8.7301886e-01 -6.8887930e+00
 -4.7893348e-01 -2.1247835e+00 -7.0535798e+00 -9.6167558e-01
 -1.6208613e+00 -3.9591420e+00  2.3596709e+00  2.4866753e+00
  8.9168066e-01  3.9704850e+00  1.1104003e+00 -1.2276664e+00
  6.9089514e-01 -1.2824419e+00 -6.2160951e-01  2.1092412e+00]",belly_pain
3,"[-3.1743289e+02  1.7603571e+02 -6.2427364e+01 -4.4671364e+00
  1.7833765e+01 -4.8702007e+01 -1.9136120e+01 -3.0113063e+00
 -3.2136478e+01 -8.0819969e+00 -9.8825508e-01 -2.2390026e+01
 -5.4005814e+00 -2.4472377e+00 -1.6219673e+01 -6.3156849e-01
  5.2092850e-01 -1.0393014e+01  3.0600932e-01 -3.3196657e+00
 -1.4170643e+01 -5.3417072e+00 -5.8403888e+00 -9.4808006e+00
 -7.7552879e-01 -3.8205626e+00 -7.1090074e+00  1.6146384e+00
  4.8222396e-01 -1.2914748e+00  4.4202185e+00  2.1261754e+00
  1.6751525e+00  5.2673702e+00  6.3183717e-02 -1.3556393e+00
  2.5133595e+00 -2.9511902e-01 -6.0779542e-01  1.4030752e+00]",belly_pain
4,"[-3.8952472e+02  1.4890518e+02 -7.2827492e+01 -8.7109327e+00
  1.6210020e+01 -4.4576469e+01 -8.7855139e+00  8.6077805e+00
 -2.5924629e+01 -4.4064307e+00  5.3361564e+00 -1.9474684e+01
 -7.0738807e+00 -5.3482968e-01 -1.3911309e+01 -2.7256753e+00
  8.5661519e-01 -7.6137705e+00  1.1526074e+00  1.6363310e+00
 -3.8110492e+00  2.8835764e+00 -1.2000644e+00 -7.3607249e+00
 -8.6079931e-01 -3.1184964e+00 -6.6170216e+00 -4.4246209e-01
 -1.4404060e+00 -2.8398430e+00  1.0546724e+00 -2.4497132e+00
 -3.6056046e+00  1.3009011e+00 -5.6803149e-01 -1.7239459e+00
  1.8181415e+00  1.1106642e+00  1.7826055e-01  6.6346139e-01]",belly_pain
5,"[-3.95502747e+02  1.34505417e+02 -4.09988441e+01 -3.85170555e+00
  1.07505245e+01 -3.69288368e+01 -1.55620632e+01 -5.35657930e+00
 -2.95100250e+01 -1.25371990e+01 -5.19955826e+00 -2.07104130e+01
 -8.46714973e+00 -4.73691225e+00 -1.32435274e+01  2.84680009e+00
  8.88222027e+00 -1.10467470e+00  3.32000041e+00  1.81594300e+00
 -5.89463615e+00 -7.65556395e-01 -2.24381137e+00 -7.66593409e+00
 -2.87476635e+00 -5.12154865e+00 -9.15620136e+00 -2.79436326e+00
 -2.05717874e+00 -3.90921926e+00  7.59146333e-01  4.11945909e-01
 -1.03728819e+00  2.14624953e+00  6.76930726e-01 -6.02084100e-01
  1.97080433e+00  5.03775716e-01 -2.53918588e-01  1.73753190e+00]",belly_pain
6,"[-4.3381680e+02  9.3447205e+01  1.9128580e-01 -1.0415295e+01
 -4.0812230e+00 -1.8815041e+01 -1.6638805e+01 -1.0185334e+01
 -1.7012871e+01 -1.5683463e+01 -9.2018681e+00 -8.5248165e+00
 -5.5446229e+00 -4.7740679e+00 -7.7524772e+00 -3.8705835e+00
 -2.9734913e-01 -2.1182683e+00  4.7638911e-01  2.7757475e+00
 -1.1695198e+00 -2.1516504e+00 -9.9730536e-02 -7.3132032e-01
 -1.0151807e+00 -1.7199776e+00 -4.2356491e+00 -3.6353929e+00
 -1.6170920e+00 -2.3251255e+00 -2.8317120e+00 -2.3667858e+00
 -2.0013945e+00  3.8216031e-01  3.1288657e+00  3.0841630e+00
  2.0757756e+00  1.5252590e+00  6.0150754e-01 -2.1188281e-01]",belly_pain
7,"[-3.9530914e+02  1.2801906e+02 -4.7220932e+01  1.3578546e+00
  6.5307579e+00 -4.4836464e+01 -9.6786184e+00 -2.1405783e+00
 -3.2203331e+01 -7.5309701e+00 -2.1458066e+00 -2.2886612e+01
 -4.9304266e+00 -3.6874825e-01 -1.1760331e+01  5.7957282e+00
  1.0305522e+01  9.2093259e-01  9.6319551e+00  5.1859074e+00
 -6.5948610e+00  1.1775753e-01 -5.0594616e-01 -5.6476855e+00
 -7.2029389e-02 -2.8815033e+00 -6.4447722e+00 -4.7655740e-01
 -2.1713779e+00 -4.3509459e+00  6.0174435e-01  4.0632921e-01
  7.8311402e-01  3.8108501e+00  1.4486847e+00  1.5615747e+00
  2.8843489e+00 -9.0637094e-01 -4.9042031e-01  1.1279873e+00]",belly_pain
8,"[-4.2839420e+02  1.4889999e+02 -6.9306190e+01 -1.5013275e+01
  2.8952463e+01 -3.8647449e+01 -2.5540077e+01  2.0923857e+01
  1.0842580e-01 -1.1324343e+01  6.5159696e-01 -5.3665795e+00
 -5.4911346e+00 -3.3067541e+00 -1.1671537e+01 -5.8877859e+00
  3.2825730e+00  2.4690989e-01  3.2616770e+00  6.6030979e+00
  1.4022417e-01 -2.3688869e+00 -2.4789262e+00 -4.1906090e+00
 -7.9785269e-01 -2.0990512e-01 -4.3270330e+00 -2.6921656e+00
 -6.5834880e-01 -2.4887719e+00 -1.7470658e+00 -1.5832617e+00
 -3.5615828e+00 -2.2580533e+00 -5.4840350e-01 -8.5921103e-01
 -2.9156744e-01  2.1960025e-01  4.4626305e-01  5.2334195e-01]",belly_pain
9,"[-4.36132141e+02  1.23276924e+02 -2.01654339e+01  7.37660313e+00
  1.84136620e+01 -2.27058773e+01 -4.55106211e+00  9.97416973e+00
 -1.10640335e+01 -5.11867285e+00 -3.74003243e+00 -2.03125496e+01
 -8.93110371e+00  1.58853698e+00 -7.83913326e+00 -1.99343526e+00
  5.50318050e+00 -1.85542953e+00 -4.21934938e+00 -6.27752781e+00
 -1.02447023e+01 -4.76491690e+00 -4.21202374e+00 -1.02116451e+01
 -7.26901674e+00 -4.99472237e+00 -7.36538744e+00 -4.32509708e+00
 -2.97946286e+00 -4.31669617e+00 -1.45441189e-01  1.07999671e+00
 -2.78144360e+00 -2.02501678e+00 -6.46872759e-01 -2.70071816e+00
 -2.57486725e+00 -1.48337305e+00 -2.19723153e+00 -2.28788948e+00]",belly_pain
